model_name sample size system_name config_name core0_status core1_status core2_status core3_status core_freq gpu_status gpu_freq emc_status emc_freq inference_time power_consumption
xception ILSVRC2017_test_00002118.JPEG 200x200 TX2 Config35 1 0 0 0 1420800 1 1300500000 1 1866000000 0.1291117403242323 3544.8888888888887
xception ILSVRC2017_test_00002118.JPEG 200x200 TX2 Config36 1 0 0 0 1420800 1 140250000 1 1062400000 0.632906887266371 2725.6666666666665
xception ILSVRC2017_test_00002118.JPEG 200x200 TX2 Config37 1 0 0 0 1420800 1 140250000 1 1331200000 0.632851865556505 3080.222222222222
xception ILSVRC2017_test_00002118.JPEG 200x200 TX2 Config38 1 0 0 0 1420800 1 140250000 1 1600000000 0.6178502506679959 3182.0
xception ILSVRC2017_test_00002118.JPEG 200x200 TX2 Config39 1 0 0 0 1420800 1 140250000 1 1866000000 0.615912225511339 3197.0
xception ILSVRC2017_test_00002118.JPEG 200x200 TX2 Config40 1 0 0 0 1420800 1 497250000 1 1062400000 0.2355066935221354 2277.0
xception ILSVRC2017_test_00002118.JPEG 200x200 TX2 Config41 1 0 0 0 1420800 1 497250000 1 1331200000 0.22995522287156847 2167.0
xception ILSVRC2017_test_00002118.JPEG 200x200 TX2 Config42 1 0 0 0 1420800 1 497250000 1 1600000000 0.22258861859639487 2225.6666666666665
xception ILSVRC2017_test_00002118.JPEG 200x200 TX2 Config43 1 0 0 0 1420800 1 497250000 1 1866000000 0.21706514888339573 2403.222222222222
xception ILSVRC2017_test_00002118.JPEG 200x200 TX2 Config44 1 0 0 0 1420800 1 943500000 1 1062400000 0.16822240087721083 2801.8888888888887
xception ILSVRC2017_test_00002118.JPEG 200x200 TX2 Config45 1 0 0 0 1420800 1 943500000 1 1331200000 0.1520294878217909 2802.0
xception ILSVRC2017_test_00002118.JPEG 200x200 TX2 Config46 1 0 0 0 1420800 1 943500000 1 1600000000 0.14589598443773058 2632.0
xception ILSVRC2017_test_00002118.JPEG 200x200 TX2 Config47 1 0 0 0 1420800 1 943500000 1 1866000000 0.14223276244269478 2724.8888888888887
xception ILSVRC2017_test_00002118.JPEG 200x200 TX2 Config48 1 0 0 0 1574400 1 1300500000 1 1062400000 0.15034471617804634 3977.8888888888887
xception ILSVRC2017_test_00002118.JPEG 200x200 TX2 Config49 1 0 0 0 1574400 1 1300500000 1 1331200000 0.13635121451483834 3867.5555555555557
xception ILSVRC2017_test_00002118.JPEG 200x200 TX2 Config50 1 0 0 0 1574400 1 1300500000 1 1600000000 0.12116811010572645 4459.333333333333
xception ILSVRC2017_test_00002118.JPEG 200x200 TX2 Config51 1 0 0 0 1574400 1 1300500000 1 1866000000 0.12613095177544487 4229.777777777777
xception ILSVRC2017_test_00002118.JPEG 200x200 TX2 Config52 1 0 0 0 1574400 1 140250000 1 1062400000 0.6396816306644015 3063.6666666666665
